Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
TMEM61	Inf	Inf	1
BSND	Inf	Inf	1
PCSK9	Inf	Inf	1
USP24	Inf	Inf	1
AK127270	Inf	Inf	1
PPAP2B	Inf	Inf	1
PRKAA2	Inf	Inf	1
C1orf168	Inf	Inf	1
BC048114	Inf	Inf	1
C8A	Inf	Inf	1
C8B	Inf	Inf	1
DAB1	Inf	Inf	1
BC047487	Inf	Inf	1
BC033978	Inf	Inf	1
AX746780	Inf	Inf	1
OMA1	Inf	Inf	1
TACSTD2	Inf	Inf	1
MYSM1	Inf	Inf	1
JUN	Inf	Inf	1
LOC100131060	Inf	Inf	1
FGGY	Inf	Inf	1
BC042048	Inf	Inf	1
HOOK1	Inf	Inf	1
CYP2J2	Inf	Inf	1
C1orf87	Inf	Inf	1
AK097193	Inf	Inf	1
BC030753	Inf	Inf	1
NFIA	Inf	Inf	1
TM2D1	Inf	Inf	1
INADL	Inf	Inf	1
L1TD1	Inf	Inf	1
KANK4	Inf	Inf	1
USP1	Inf	Inf	1
DOCK7	Inf	Inf	1
ANGPTL3	Inf	Inf	1
ATG4C	Inf	Inf	1
LINC00466	Inf	Inf	1
FOXD3	Inf	Inf	1
ITGB3BP	Inf	Inf	1
EFCAB7	Inf	Inf	1
DLEU2L	Inf	Inf	1
PGM1	Inf	Inf	1
ROR1	Inf	Inf	1
BC040909	Inf	Inf	1
AK096291	Inf	Inf	1
UBE2U	Inf	Inf	1
CACHD1	Inf	Inf	1
RAVER2	Inf	Inf	1
JAK1	Inf	Inf	1
AK128734	Inf	Inf	1
BC035370	Inf	Inf	1
MIR101-1	Inf	Inf	1
AK4	Inf	Inf	1
AK123450	Inf	Inf	1
DNAJC6	Inf	Inf	1
LEPROT	Inf	Inf	1
LEPR	Inf	Inf	1
PDE4B	Inf	Inf	1
SGIP1	Inf	Inf	1
TCTEX1D1	Inf	Inf	1
INSL5	Inf	Inf	1
WDR78	Inf	Inf	1
MIER1	Inf	Inf	1
SLC35D1	Inf	Inf	1
C1orf141	Inf	Inf	1
IL23R	Inf	Inf	1
IL12RB2	Inf	Inf	1
SERBP1	Inf	Inf	1
GADD45A	Inf	Inf	1
GNG12	Inf	Inf	1
LOC100289178	Inf	Inf	1
DIRAS3	Inf	Inf	1
WLS	Inf	Inf	1
RPE65	Inf	Inf	1
DEPDC1	Inf	Inf	1
BC020917	Inf	Inf	1
LRRC7	Inf	Inf	1
LRRC40	Inf	Inf	1
SRSF11	Inf	Inf	1
ANKRD13C	Inf	Inf	1
HHLA3	Inf	Inf	1
CTH	Inf	Inf	1
BC041441	Inf	Inf	1
PTGER3	Inf	Inf	1
