#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001azi.1	FLJ00313																							
uc001azj.1	FLJ00313																							
uc001azk.2	MST1P2																							
uc001azm.4	MST1P2																							
uc001azn.1	ESPNP																							
uc001azp.4	MST1P9																							
uc001azs.1	BC070363																							
uc001azt.2	CROCC																							
uc001azu.2	CROCC																							
uc001azv.2	CROCC																							
uc001azw.3	MFAP2																							
uc001azx.3	MFAP2																							
uc001azy.3	MFAP2																							
uc001baa.2	ATP13A2																							
uc001bab.2	ATP13A2																							
uc001bac.2	ATP13A2																							
uc001bad.1	ATP13A2																							
uc001bae.3	SDHB																							
uc001baf.3	PADI2																							
uc001bag.1	PADI2																							
uc001bah.1	PADI1																							
uc001bai.3	PADI3																							
uc001baj.2	PADI4																							
uc001bak.1	PADI6																							
uc001bal.3	RCC2																							
uc001bam.3	RCC2																							
uc001ban.3	ARHGEF10L																							
uc001bao.3	ARHGEF10L																							
uc001bap.3	ARHGEF10L																							
uc001baq.3	ARHGEF10L																							
uc001bar.3	ARHGEF10L																							
uc001bas.3	ARHGEF10L																							
uc001bat.3	ACTL8																							
uc001bau.2	IGSF21																							
uc001bav.2	IGSF21																							
uc001baw.1	AX747631																							
uc001bax.3	KLHDC7A																							
uc001bay.3	PAX7																							
uc001baz.3	PAX7																							
uc001bba.1	TAS1R2																							
uc001bbb.3	ALDH4A1																							
uc001bbc.3	ALDH4A1																							
uc001bbd.2	IFFO2																							
uc001bbe.1	AX747516																							
uc001bbf.3	UBR4																							
uc001bbg.3	UBR4																							
uc001bbh.3	UBR4																							
uc001bbi.3	UBR4																							
uc001bbj.1	UBR4																							
uc001bbk.1	UBR4																							
uc001bbl.1	UBR4																							
uc001bbm.1	UBR4																							
uc001bbn.3	KIAA0090																							
uc001bbo.3	KIAA0090																							
uc001bbp.3	KIAA0090																							
uc001bbq.3	KIAA0090																							
uc001bbr.3	KIAA0090																							
uc001bbs.3	MRTO4																							
uc001bbv.1	AKR7A3																							
uc001bbw.3	AKR7A2																							
uc001bby.3	PQLC2																							
uc001bbz.3	PQLC2																							
uc001bca.3	PQLC2																							
uc001bcb.3	PQLC2																							
uc001bce.3	CAPZB																							
uc001bcf.1	AX748283																							
uc001bch.2	MINOS1																							
uc001bci.2	MINOS1																							
uc001bcj.2	NBL1																							
uc001bck.2	NBL1																							
uc001bcl.3	HTR6																							
uc001bcn.3	TMCO4																							
uc001bco.1	TMCO4																							
uc001bcp.1	TMCO4																							
uc001bcq.1	TMCO4																							
uc001bcr.3	RNF186																							
uc001bcs.4	OTUD3																							
uc001bct.1	PLA2G2E																							
uc001bcu.3	PLA2G2A																							
uc001bcv.3	PLA2G2A																							
uc001bcx.3	PLA2G5																							
uc001bcy.3	PLA2G5																							
uc001bcz.3	PLA2G2D																							
uc001bdb.3	UBXN10																							
uc001bdd.2	VWA5B1																							
uc001bde.3	VWA5B1																							
uc001bdf.2	LOC339505																							
uc001bdh.3	CAMK2N1																							
uc001bdi.4	MUL1																							
uc001bdj.3	FAM43B																							
uc001bdk.3	CDA																							
uc001bdl.3	CDA																							
uc001bdm.3	PINK1																							
uc001bdn.3	PINK1																							
uc001bdo.1	DDOST																							
uc001bdp.4	KIF17																							
uc001bdr.4	KIF17																							
uc001bds.4	KIF17																							
uc001bdt.1	SH2D5																							
uc001bdu.1	SH2D5																							
uc001bdv.1	HP1BP3																							
uc001bdw.1	HP1BP3																							
uc001bdy.1	HP1BP3																							
uc001bea.2	HP1BP3																							
uc001beb.3	HP1BP3																							
uc001bec.3	EIF4G3																							
uc001bee.3	EIF4G3																							
uc001bef.3	EIF4G3																							
uc001beg.3	EIF4G3																							
uc001beh.3	EIF4G3																							
uc001bei.2	ECE1																							
uc001bej.2	ECE1																							
uc001bek.2	ECE1																							
