id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
SCFD2	21614.1998096485	43218.3007192172	10.0989000798386	0.000233671845301129	-12.0632284626789	3.77415620836621e-06	0.000486792147816332
UBA6	7631.41082192523	15262.8216438505	0	0	-Inf	3.81105407613863e-06	0.000489153438299315
NUDT3	8583.90964061707	17167.572966598	0.246314636093624	1.43476679302813e-05	-16.0888242141096	3.83280916762097e-06	0.000489557644749723
NOL7	5026.35507048364	10052.2175116951	0.492629272187248	4.90070247300266e-05	-14.3166519126214	3.8774498249615e-06	0.000492866955528439
LOC100093631	8183.50611304274	16365.2880236328	1.72420245265537	0.000105357293447294	-13.212422190159	3.94551283364622e-06	0.000499107373456247
RPL36AL	13201.7688934545	26397.6262356427	5.91155126624697	0.000223942532312434	-12.124583821306	3.97916836973125e-06	0.000500956354757745
CBR4	10425.6330905525	20850.7735518327	0.492629272187248	2.36264266629066e-05	-15.3692390264848	4.00012503490128e-06	0.000501196618658679
MECOM	17353.726061079	34697.5995367142	9.85258544374495	0.000283955823322007	-11.782045880917	4.08346831611112e-06	0.00050921430489818
ROCK2	18005.5901305524	35995.6624390309	15.5178220738983	0.000431102555764385	-11.1796812640809	4.160745295461e-06	0.000516403444406462
PFN1	8673.48871898727	17343.036403797	3.94103417749798	0.000227240149056894	-12.1034946251292	4.22320812904829e-06	0.000521695081180839
